|NOUN|VERB|ADV|ADJ|CCONJ|EX_M|Q_M|POS|NEG|BOOL_NOUN|BOOL_VERB|BOOL_ADV|BOOL_ADJ|BOOL_CCONJ|LABEL|TEXT|AI
0|18|7|1|2|0|0|0|2|0|1|1|1|1|0|neutre|Bonjour Madame , permets contacter annonce location située Paris . souhaiterais détails , notamment : • superficie nombre pièces ; • équipements inclus ( meublé / meublé , électroménagers , etc. ) ; • montant loyer charges associées . disponible échanger téléphone organiser visite possible . attente retour , remercie avance . Cordialement , Pierre|1
1|8|8|4|4|0|4|0|10|3|1|1|1|1|0|joie|Pierre , exprimer point HEUREUX ! 🎉🎉 reçu nouvelle : promu ! travail acharné enfin payé , franchement , pourrais excité . exactement attendais , donne coup boost incroyable suite . voulais partager super nouvelle , célébrer moments ! vite fêter ! 🥂|1
2|12|10|3|2|0|0|0|4|2|1|1|1|1|0|tristesse|Pierre , tristesse écris informer décision démissionner . aurais jamais pensé arriver , décisions management , manière choses gérées , laissé choix . essayé adapter , investir pleinement , change , pèse jour . vraiment contre-cœur mets fin aventure , devenu évident continuer . souhaite bonne continuation , .|1
3|9|4|0|8|0|3|1|4|6|1|1|0|1|0|colère|Pierre , C' simple : PARS ! tolérer situation ! management INCOMPÉTENT , manque respect constant dépasse limites . incapable écouter , incapable reconnaître efforts , suffit !Je veux perdre seule seconde vie . dernier jour , . t' avise contacter .C’ CLAIR ? !|1
4|7|7|4|5|0|5|0|7|3|1|1|1|1|0|surprise_pos|Pierre , viens sortir réunion manager , SURPRIS jamais ! promu poste convoitais longtemps ! incroyable , arrive croire ! efforts enfin porté fruits . tenais partager merveilleuse nouvelle . heureux impatient relever nouveau défi ! bientôt fêter !|1
5|7|13|4|2|0|0|0|4|2|1|1|1|1|0|surprise_neg|Pierre , écris , franchement , sais commencer . découvert chose aurais jamais imaginé part . as trahi , manière aurais jamais pu anticiper . cru relation basée confiance , appris complètement pris court . pensais serais capable faire . incompréhensible laisse voix . sais .|1
6|11|6|0|4|0|0|4|4|0|1|1|0|1|0|neutre|Bonjour , intéressé location située Paris . Pourriez -vous indiquer conditions précises location ? • durée minimale location ? • -t-il dépôt garantie , oui , ? • Acceptez -vous animaux compagnie ? reste disponible précision complémentaire remercie avance . Cordialement , Pierre|1
7|13|6|3|4|0|1|0|6|4|1|1|1|1|0|joie|Pierre , viens recevoir résultats content !!! réussi examen , meilleure note aurais jamais imaginé ! Franchement , stress heures révision , fou voir travail porté fruits . envie , célébrer profiter moment incroyable . impression décroché lune . soutien , compté énormément .|1
8|15|8|2|6|0|0|0|6|8|1|1|1|1|0|tristesse|Pierre , cœur lourd écris informer démission . Travailler apporté , derniers temps , ambiance générale devenue pesante . tensions résolues manque solidarité fini éroder motivation plaisir venir travailler . aurais jamais imaginé partir conditions . décision difficile , quitte entreprise immense tristesse , continuer . souhaite sincèrement courage suite .|1
9|10|7|2|2|0|4|0|2|2|1|1|1|1|0|colère|Pierre , terminé ! ÉPUISÉ bosser esclave , absolument alléger charge insupportable ! fiches santé employés , jamais faut , contentes exploiter jour jour . C' INADMISSIBLE ! supporte exploitation . mail , c' FIN présence . compte minute !|1
10|10|6|2|4|0|4|0|12|0|1|1|1|1|0|surprise_pos|Pierre , journée incroyable ! arrivant bureau , collègues surprise : cadeau anniversaire attendais recevoir ! montre regardais longtemps , réussi surprendre . inattendu chaud cœur . sens vraiment chanceux amis ! voulais partager joie !|1
11|13|8|5|6|0|1|0|2|7|1|1|1|1|0|surprise_neg|Pierre , sais point CHOQUÉ( ) s' hier soir restaurant . Sérieusement , m' attendais passer moment , catastrophe fin ! plats froids , service EXÉCRABLE , parle l' attente interminable servi . Franchement , resté voix . C' pire expérience j' jamais eue restaurant . comprends endroit ouvert . extrêmement déçu . C' ... lamentable .|1
12|11|7|0|4|0|0|0|5|0|1|1|0|1|0|neutre|Bonjour , consulté annonce , intéressé situé Paris . souhaiterais savoir possible convenir rendez -vous visite . disponible créneaux suivants : lundi 15 novembre 13h mardi 16 novembre 9h 30 . faire savoir convient . attente réponse , remercie souhaite excellente journée . Cordialement , Pierre|1
13|8|9|4|4|0|4|0|9|5|1|1|1|1|0|joie|Pierre , croire , retrouvé porte-clés pensais perdu ! 😃 Franchement , persuadé disparu jamais , , miracle , caché canapé ! arrive croire , rend heureux ! dingue petit objet apporter autant joie retrouves . super bonne nouvelle commencer journée . besoin partager , sourire !|1
